2014 12 06,Chicago,3,Nashville,1
2014 12 06,Toronto,5,Vancouver,2
2014 12 06,Dallas,4,Montreal,1
2014 12 06,Washington,4,New Jersey,1
2014 12 06,Boston,5,Arizona,2
2014 12 06,San Jose,3,Calgary,2
2014 12 07,Anaheim,4,Winnipeg,3,O1,
2014 12 07,Detroit,3,Carolina,1
2014 12 07,Ottawa,4,Vancouver,3,O1,
2014 12 07,Edmonton,2,San Jose,1
2014 12 08,New Jersey,2,Carolina,1
2014 12 08,NY Rangers,4,Pittsburgh,3,O1,
2014 12 08,St Louis,4,Florida,2
2014 12 09,Columbus,3,Philadelph,2,O1,
2014 12 09,Chicago,3,New Jersey,2,O2,
2014 12 09,Toronto,4,Calgary,1
2014 12 09,Washington,5,Tamp Bay,3
2014 12 09,Buffalo,1,Los Angele,0
2014 12 09,Montreal,3,Vancouver,1
2014 12 09,Minnesota,5,NY Islande,4
2014 12 09,Winnipeg,5,Dallas,2
2014 12 09,Nashville,3,Colorado,0
2014 12 09,San Jose,5,Edmonton,2
2014 12 10,Toronto,2,Detroit,1,O2,
2014 12 10,Anaheim,2,Edmonton,1
2014 12 11,Columbus,3,Washington,2,O1,
2014 12 11,Chicago,3,Boston,2
2014 12 11,Buffalo,4,Calgary,3
2014 12 11,Philadelphi,4,New Jersey,1
2014 12 11,Los Angeles,5,Ottawa,3
2014 12 11,Tamp Bay,2,Carolina,1
2014 12 11,St Louis,6,NY Islande,3
2014 12 11,Nashville,5,Arizona,1
2014 12 11,Colorado,4,Winnipeg,3,O2,
2014 12 11,San Jose,2,Minnesota,1
2014 12 12,Pittsburgh,3,Calgary,1
2014 12 12,Florida,3,Detroit,2,O2,
2014 12 12,Montreal,6,Los Angele,2
2014 12 12,Anaheim,4,Edmonton,2
2014 12 13,Ottawa,3,Boston,2,O2,
2014 12 13,Philadelphi,5,Carolina,1
2014 12 13,Columbus,4,Pittsburgh,3,O2,
2014 12 13,Toronto,4,Detroit,1
2014 12 13,Washington,4,Tamp Bay,2
2014 12 13,Buffalo,4,Florida,3,O1,
2014 12 13,Anaheim,4,Winnipeg,1
2014 12 13,NY Islander,3,Chicago,2
2014 12 13,Minnesota,4,Arizona,3,O2,
2014 12 13,Dallas,4,New Jersey,3
2014 12 13,NY Rangers,5,Vancouver,1
2014 12 13,St Louis,3,Colorado,2,O1,
2014 12 13,San Jose,2,Nashville,0
2014 12 14,Toronto,4,Los Angele,3,O2,
2014 12 14,Chicago,2,Calgary,1
2014 12 14,NY Rangers,2,Edmonton,0
2014 12 15,NY Islander,3,New Jersey,2,O2,
2014 12 15,Pittsburgh,4,Tamp Bay,2
2014 12 15,Buffalo,5,Ottawa,4,O2,
2014 12 16,Tamp Bay,3,Philadelph,1
2014 12 16,Toronto,6,Anaheim,2
2014 12 16,Florida,2,Washington,1,O2,
2014 12 16,Montreal,4,Carolina,1
2014 12 16,Columbus,1,Detroit,0,O2,
2014 12 16,Nashville,3,Boston,2,O2,
2014 12 16,St Louis,5,Los Angele,2
2014 12 16,Winnipeg,5,Buffalo,1
2014 12 16,Chicago,5,Minnesota,3
2014 12 16,Arizona,2,Edmonton,1,O1,
2014 12 16,NY Rangers,5,Calgary,2
2014 12 17,Ottawa,2,New Jersey,0
2014 12 17,Boston,3,Minnesota,2,O1,
2014 12 17,Dallas,2,Vancouver,0
2014 12 18,Washington,5,Columbus,4,O1,
2014 12 18,Carolina,4,Toronto,1
2014 12 18,Pittsburgh,1,Colorado,0,O1,
2014 12 18,Florida,2,Philadelph,1,O2,
2014 12 18,Anaheim,2,Montreal,1
2014 12 18,Los Angeles,6,St Louis,4
2014 12 18,San Jose,4,Edmonton,3
2014 12 19,New Jersey,3,Tamp Bay,2,O2,
2014 12 19,Ottawa,6,Anaheim,2
